time,location
1364421228,in[53_commons],
1364421238,in[53_commons],
1364421249,in[53_commons],
1364421259,in[53_commons],
1364421269,in[53_commons],
1364421279,in[53_commons],
1364421289,in[53_commons],
1364421299,in[53_commons],
1364421309,in[53_commons],
1364421320,in[53_commons],
1364421330,in[53_commons],
1364421340,in[53_commons],
1364421350,in[53_commons],
1364421360,in[53_commons],
1364421370,in[53_commons],
1364421380,in[53_commons],
1364421391,in[53_commons],
1364421401,in[53_commons],
1364421411,in[53_commons],
1364421421,in[53_commons],
1364421431,in[53_commons],
1364421441,in[53_commons],
1364421451,in[53_commons],
1364421462,in[53_commons],
1364421472,in[53_commons],
1364421482,in[53_commons],
1364421492,in[53_commons],
1364421502,in[53_commons],
1364421512,in[53_commons],
1364421522,in[53_commons],
1364421533,in[53_commons],
1364421543,in[53_commons],
1364421553,in[53_commons],
1364421563,in[53_commons],
1364421573,in[53_commons],
1364421583,in[53_commons],
1364421593,in[53_commons],
1364421604,in[53_commons],
1364421614,in[53_commons],
1364421624,in[53_commons],
1364421634,in[53_commons],
1364421644,in[53_commons],
1364421655,in[53_commons],
1364421665,in[53_commons],
1364421690,in[53_commons],
1364421704,in[53_commons],
1364421714,in[53_commons],
1364421724,in[53_commons],
1364421735,in[53_commons],
1364421745,in[53_commons],
1364421769,in[53_commons],
1364421780,in[53_commons],
1364421790,in[53_commons],
1364421800,in[53_commons],
1364421810,in[53_commons],
1364421823,in[53_commons],
1364421843,in[53_commons],
1364421853,in[53_commons],
1364421876,in[53_commons],
1364421891,near[massrow; parkhurst; mcnutt; ],
1364421901,near[massrow; parkhurst; mcnutt; ],
1364421918,in[parkhurst],
1364421928,in[parkhurst],
1364421940,in[parkhurst],
1364421950,in[parkhurst],
1364421968,in[parkhurst],
1364421978,in[parkhurst],
1364421989,in[parkhurst],
1364421999,near[parkhurst; sanborn; carpenterhall; ],
1364422015,near[sanborn; carpenterhall; baker-berry; ],
1364422025,in[baker-berry],
1364422036,in[baker-berry],
1364422058,near[baker-berry; kemeny; carpenterhall; ],
1364422098,near[baker-berry; kemeny; carpenterhall; ],
1364422108,near[kemeny; baker-berry; carpenterhall; ],
1364422127,in[kemeny],
